id,document_id,document_slug,source_url,local_path,storage_path,kind,mime_type,downloaded,sha256,byte_size,width,height
12ce0ac5-d9bd-5049-83b8-d5717840fa36,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 367,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-367.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-367.jpg,pdf_page_thumbnail,image/jpeg,True,85d5b4e8ddf3c92cda04fbdd200df338b85ad5a2829dbb0972e2134964449992,31797,255,420
a4a70cac-d4c4-528d-9ceb-e381cc1c2e47,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 368,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-368.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-368.jpg,pdf_page_thumbnail,image/jpeg,True,b950b07d6ffd38664da15648c0d52b41173e3e312e6101b7f03caf2e37070eae,29479,255,420
b9a3fbcd-0df9-5308-beed-07cf76fa5159,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 369,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-369.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-369.jpg,pdf_page_thumbnail,image/jpeg,True,9fb6b2154ce27e2272c684f8410a6ede008af84a5d843a478beb9eb6578bb6d6,30691,255,420
ac0090b3-be09-5ae8-aa45-5aa4937b78e3,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 370,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-370.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-370.jpg,pdf_page_thumbnail,image/jpeg,True,76ba363ddbc326d251d776f7fe94cb8b00ff89714d2fd07b810e29039e482f9a,29201,255,420
476d4982-0fef-5e10-8445-315c1aa20798,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 371,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-371.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-371.jpg,pdf_page_thumbnail,image/jpeg,True,0f0b73a09303dfd1472ee60f34c9e13cfb9bf58488db4b8ed3954fa63504020c,30489,255,420
217ed0be-4c35-57e2-9d1d-6a9b76185fe5,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 372,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-372.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-372.jpg,pdf_page_thumbnail,image/jpeg,True,4172e92b142e14a1bc2589dcd9ba64c3a1f05e21f52ac260c0a9d7b31e0d1305,28972,255,420
c1cc0027-afbd-5a16-bf5a-2c188f40ff11,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 373,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-373.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-373.jpg,pdf_page_thumbnail,image/jpeg,True,51e4be020ea57278fdff60e55c2ab21c119887f79160031ed1651d46f3b09ae3,30760,255,420
ceeb0c02-7675-5552-8ada-ffa71b2ee265,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 374,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-374.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-374.jpg,pdf_page_thumbnail,image/jpeg,True,4ae9a4cf761016c466ca19c2e1e4e129646b490cfed99646028b258b010a507d,30030,255,420
037760d6-21af-5e27-8dad-0618a9d4b0d2,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 375,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-375.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-375.jpg,pdf_page_thumbnail,image/jpeg,True,6e41e02baa40f715feaad9b2e54b58a57c3bb16598c04587e53c500411bf9f77,31433,255,420
10bc4004-f38c-5bbf-bfb4-5f37cf1863db,06f67617-17c0-5c0f-b1b7-47bf662a7fba,church-committee-foreign-military-intelligence-book-one,Generated from original PDF page 376,pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-376.jpg,documents/06f67617-17c0-5c0f-b1b7-47bf662a7fba/pdf-thumbnails/church-committee-foreign-military-intelligence-book-one/page-376.jpg,pdf_page_thumbnail,image/jpeg,True,fc1fbe6398958f3c04abccb6bdff48e9f47415bf10eee002a83c73176e094753,32254,255,420
